ЗНП,Вагон №,Накладная №
4,28846350,ЭЛ838902
4,28846350,ЭЛ879965
48,28846350,20332543
48,28846467,20313032
48,28846467,10039338
48,28846467,20355355
48,28846566,20302497
48,28846566,10035269
66,28846566,20346719
66,28846582,20342153
66,28846624,20333935
48,28846632,20313010
48,28846632,10039338
48,28846632,20355333
48,28846673,20302504
48,28846673,10035399
66,28846673,20362032
4,28847085,ЭЛ823329
4,28847085,ЭЛ879957
48,28847085,20332598
48,28850014,20313026
48,28850014,10039338
48,28850014,20355363
4,28850170,ЭЛ823352
4,28850170,ЭЛ879946
48,28850170,20332604
48,28850238,20313047
48,28850238,10042167
66,28850287,20336195
48,28850345,20302512
48,28850345,10035269
66,28850345,20356521
4,28850378,ЭЛ823327
4,28850378,ЭЛ886611
53,28850378,20322453
48,28850535,20313063
48,28850535,10044437
48,28850543,20313073
48,28850543,10044437
48,28850816,20302523
48,28850816,10035269
4,28851046,ЭЛ856792
4,28851046,ЭЛ899386
48,28851046,20332606
66,28851319,20355482
4,28851459,ЭЛ824396
4,28851459,ЭЛ869551
53,28851459,20307631
4,28858249,ЭЛ834120
4,28858249,ЭЛ886603
4,28858249,ЭЛ914109
4,28858249,ЭЛ941027
48,28858249,20355327
4,28858272,ЭЛ823334
4,28858272,ЭЛ864041
53,28858272,20307627
55,28858330,ЭЛ911497
55,28858330,ЭЛ932685
48,28858330,20355374
4,28860138,ЭЛ824394
4,28860138,ЭЛ869575
53,28860138,20313175
66,28866069,20342210
4,28867349,ЭЛ823332
4,28867349,ЭЛ879960
48,28867349,20332596
25,52729688,20248448
25,52729688,10020541
25,52729712,20248448
25,52729712,10020541
25,52729738,20248449
25,52729738,10020445
25,52729845,20248449
25,52729845,nan
77,52730983,20320776
77,52730983,10037814
25,52731171,20248448
25,52731171,10020541
77,52731536,20358677
25,52731601,20248448
25,52731601,10020541
25,52731775,20248449
25,52731775,nan
77,52731916,20358677
25,52732484,20248449
25,52732484,10020426
77,52741923,20320776
77,52741923,10037814
25,52742491,20266741
25,52742491,10022305
25,52743465,20289559
31,52757606,ЭЛ928663
31,52757606,ЭЛ938675
58,52757606,ЭЛ949622
58,52757606,ЭЛ966467
28,52757614,ЭЛ772725
5,52757689,ЭЛ812095
5,52757689,ЭЛ817754
24,52757689,ЭЛ826820
24,52757689,ЭЛ838135
31,52757689,ЭЛ880741
31,52757689,ЭЛ890996
58,52757689,ЭЛ898180
58,52757689,ЭЛ913869
47,52757689,20329364
47,52757689,10043389
31,52757713,ЭЛ937242
31,52757713,ЭЛ944934
58,52757713,ЭЛ951110
58,52757713,ЭЛ965653
50,52757770,ЭЛ876013
50,52757770,ЭЛ886642
5,52757820,ЭЛ800959
5,52757820,ЭЛ809817
9,52757820,20284063
9,52757820,35286419
24,52757861,ЭЛ847776
24,52757861,ЭЛ862024
25,52758158,20248449
25,52758158,10021583
25,52758182,20248449
25,52758182,10020426
25,52758307,20248449
25,52758307,10020426
25,52758372,20248449
25,52758372,10021583
9,52767530,20251263
9,52767530,35248514
24,52767589,ЭЛ849584
24,52767589,ЭЛ864900
17,52767654,ЭЛ849366
17,52767654,ЭЛ854631
5,52767704,ЭЛ778563
5,52767704,ЭЛ787305
24,52767704,ЭЛ802207
24,52767704,ЭЛ811419
5,52767936,ЭЛ789198
5,52767936,ЭЛ795701
16,52768025,ЭЛ861485
16,52768025,ЭЛ944038
5,52768041,ЭЛ816011
5,52768041,ЭЛ823521
24,52768041,ЭЛ835217
24,52768041,ЭЛ847327
46,52768074,20344494
46,52768074,10045741
31,52768082,ЭЛ921418
31,52768082,ЭЛ926700
58,52768082,ЭЛ937814
58,52768082,ЭЛ950690
5,52768116,ЭЛ818854
5,52768116,ЭЛ826672
24,52768116,ЭЛ842425
24,52768116,ЭЛ856652
5,52768124,ЭЛ840215
5,52768124,ЭЛ848283
24,52768124,ЭЛ859001
24,52768124,ЭЛ875967
24,52768124,ЭЛ875380
31,52768223,ЭЛ877968
31,52768223,ЭЛ883012
25,52769361,20248449
25,52769361,10020426
25,52769429,20248449
25,52769429,nan
25,52772753,20248449
25,52772753,10020426
77,52772787,20358677
77,52772951,20358677
25,52773082,20248449
25,52773082,10021583
25,52773249,20266741
25,52773249,10022305
25,52773363,20248449
25,52773363,10021607
77,52773389,20358677
25,52773454,20248448
25,52773454,10020541
25,52773553,20248449
25,52773553,10020541
46,52782984,20344494
46,52782984,10045228
31,52783024,ЭЛ877968
31,52783024,ЭЛ883012
58,52783032,ЭЛ921235
58,52783032,ЭЛ939425
31,52783040,ЭЛ926715
31,52783040,ЭЛ934847
